time,temperature_2m_mean,relative_humidity_2m_mean,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_moisture_0_to_7cm_mean,rain_sum
1940-11-01,17.0,75.0,1.21,19.7,0.051,0.1
1940-11-02,17.9,80.0,0.91,20.0,0.052,0.4
1940-11-03,18.1,75.0,1.11,20.2,0.056,0.0
1940-11-04,16.9,77.0,1.01,20.1,0.055,0.0
1940-11-05,16.3,78.0,0.97,19.1,0.054,0.0
1940-11-06,16.6,78.0,0.85,18.8,0.057,0.9
1940-11-07,18.0,61.0,1.63,19.8,0.056,0.0
1940-11-08,17.9,73.0,1.15,19.2,0.088,9.7
1940-11-09,16.4,85.0,0.45,17.4,0.166,4.3
1940-11-10,17.1,82.0,0.82,18.7,0.149,0.0
1940-11-11,15.6,77.0,0.67,17.9,0.145,3.1
1940-11-12,13.8,57.0,0.93,16.3,0.142,0.6
1940-11-13,15.0,70.0,0.83,16.7,0.131,0.5
1940-11-14,15.7,78.0,0.9,17.2,0.123,1.1
1940-11-15,16.7,81.0,0.93,18.3,0.117,0.3
1940-11-16,15.7,87.0,0.64,17.8,0.114,1.7
1940-11-17,16.2,74.0,1.01,18.5,0.109,0.0
1940-11-18,17.0,69.0,1.21,19.2,0.095,0.0
1940-11-19,15.4,80.0,0.84,18.3,0.084,0.0
1940-11-20,15.1,83.0,0.53,16.4,0.092,4.1
1940-11-21,15.0,77.0,0.95,17.2,0.109,0.8
1940-11-22,16.0,71.0,1.26,18.0,0.098,0.0
1940-11-23,17.8,71.0,1.76,20.0,0.083,0.0
1940-11-24,17.7,79.0,0.9,20.6,0.071,0.0
1940-11-25,16.6,72.0,0.88,19.5,0.065,0.1
1940-11-26,16.8,67.0,1.24,20.0,0.059,0.1
1940-11-27,16.2,66.0,1.14,19.6,0.055,0.0
1940-11-28,17.5,54.0,1.61,20.2,0.052,0.0
1940-11-29,17.0,70.0,1.2,20.1,0.05,0.5
1940-11-30,15.4,63.0,1.02,18.6,0.054,0.5
1940-12-01,16.2,65.0,1.03,18.7,0.056,0.7
1940-12-02,17.0,68.0,1.3,20.1,0.055,0.0
1940-12-03,16.5,75.0,0.9,18.9,0.056,1.1
1940-12-04,17.1,71.0,1.44,20.1,0.057,0.0
1940-12-05,19.2,68.0,1.96,22.1,0.052,0.0
1940-12-06,20.0,75.0,1.6,23.1,0.048,0.0
1940-12-07,20.6,72.0,1.65,23.5,0.046,0.0
1940-12-08,19.5,75.0,1.31,23.0,0.046,0.0
1940-12-09,19.4,80.0,1.22,23.5,0.045,0.0
1940-12-10,19.6,79.0,1.33,23.8,0.043,0.0
1940-12-11,19.0,74.0,1.16,22.6,0.045,0.1
1940-12-12,18.1,83.0,0.93,20.5,0.048,0.6
1940-12-13,18.6,75.0,1.18,22.5,0.051,0.2
1940-12-14,18.8,76.0,1.59,22.7,0.048,0.0
1940-12-15,19.0,75.0,1.26,22.6,0.048,0.5
1940-12-16,21.1,64.0,2.0,23.8,0.048,0.0
1940-12-17,21.0,71.0,1.9,24.1,0.046,0.0
1940-12-18,21.1,66.0,2.03,24.1,0.045,0.0
1940-12-19,22.0,58.0,2.44,24.8,0.044,0.0
1940-12-20,21.9,61.0,2.49,25.1,0.043,0.0
1940-12-21,21.0,71.0,1.65,24.4,0.043,0.0
1940-12-22,18.7,63.0,1.43,23.0,0.042,0.0
1940-12-23,18.9,58.0,1.85,23.3,0.042,0.0
1940-12-24,18.4,65.0,1.54,22.6,0.042,0.0
1940-12-25,18.3,71.0,1.57,22.7,0.042,0.0
1940-12-26,17.9,75.0,1.32,20.8,0.054,2.8
1940-12-27,17.3,59.0,1.31,20.6,0.059,0.4
1940-12-28,18.3,61.0,1.67,22.1,0.054,0.0
1940-12-29,19.2,75.0,1.32,22.7,0.05,0.0
1940-12-30,19.0,79.0,1.04,22.0,0.051,0.8
1940-12-31,19.3,63.0,1.63,23.2,0.051,0.0
1941-01-01,20.4,63.0,2.04,23.8,0.048,0.0
1941-01-02,21.2,78.0,1.53,24.9,0.046,0.0
1941-01-03,21.1,81.0,1.32,25.4,0.045,0.0
1941-01-04,21.2,81.0,1.47,25.7,0.047,0.1
